,Predictions
2023-03-21,2314.513958984375
2023-03-22,2716.6315087890625
2023-03-23,1300.675048828125
2023-03-24,1518.073323567715
2023-03-25,1104.4200032552028
2023-03-26,1173.7528599330294
2023-03-27,953.6841680908203
2023-03-28,1357.5812636108399
2023-03-29,3373.0400390625
2023-03-30,1187.9367788085938
2023-03-31,1005.7300109863281
2023-04-01,3060.5336455078127
2023-04-02,1452.3233642578125
2023-04-03,2180.1398232421875
2023-04-04,2391.169921875
2023-04-05,1144.83251953125
2023-04-06,1190.1485595703125
2023-04-07,2012.3766682942855
2023-04-08,2001.8921057739258
2023-04-09,954.2157449340821
2023-04-10,1418.0999755859375
2023-04-11,4158.5710703125
2023-04-12,1300.3765015869142
2023-04-13,1089.2574768066406
2023-04-14,841.3633422851562
2023-04-15,1588.014236328125
2023-04-16,1215.655029296875
2023-04-17,1428.5349731445312
2023-04-18,1075.9824829101562
2023-04-19,3149.2757548828126
2023-04-20,1517.2239990234375
2023-04-21,1158.31005859375
2023-04-22,1106.5777723524332
2023-04-23,954.4197607421875
2023-04-24,2926.316650390625
2023-04-25,2584.800087890625
2023-04-26,2016.7099609375
2023-04-27,1278.427490234375
2023-04-28,2775.92802734375
2023-04-29,1200.7225036621094
2023-04-30,1275.7400309244786
2023-05-01,3230.780029296875
2023-05-02,1154.0399983723923
2023-05-03,1096.1737365722656
2023-05-04,1398.2177356445272
2023-05-05,1261.740030924479
2023-05-06,2888.6325073242188
2023-05-07,895.2876264648437
2023-05-08,908.4079956054762
2023-05-09,942.5444544677734
2023-05-10,1472.666666666661
2023-05-11,4095.4835673828125
2023-05-12,3509.2558598632813
2023-05-13,2740.005393066406
2023-05-14,1158.31005859375
2023-05-15,2465.0148393554687
2023-05-16,2181.9532877604047
2023-05-17,4401.096193359375
2023-05-18,2724.083098144531
2023-05-19,1144.83251953125
2023-05-20,1530.43994140625
2023-05-21,1296.625
2023-05-22,3194.0545869140624
2023-05-23,1098.5599975585938
2023-05-24,1364.0685860770016
2023-05-25,2354.934595703125
2023-05-26,2031.9200439453125
2023-05-27,1401.1919677734431
2023-05-28,1412.0119873046744
2023-05-29,940.6079956054607
2023-05-30,2036.177307739258
2023-05-31,1132.1050415039062
2023-06-01,1517.4577270507812
2023-06-02,1869.7424365234372
2023-06-03,783.7360393066406
2023-06-04,4138.35315234375
2023-06-05,878.4099934895778
2023-06-06,2824.81123046875
2023-06-07,1927.1099853515625
2023-06-08,2056.14990234375
2023-06-09,1265.0199584960938
2023-06-10,2126.58729296875
2023-06-11,2263.427123046875
2023-06-12,3500.5089169921876
2023-06-13,1588.014236328125
2023-06-14,1058.3074951171875
2023-06-15,2212.652716796875
2023-06-16,1139.933349609375
2023-06-17,963.5900268554688
2023-06-18,4658.24105859375
2023-06-19,1263.841992187501
2023-06-20,2342.550824707031
2023-06-21,1349.949975585925
2023-06-22,1997.23619140625
2023-06-23,4385.370416015625
2023-06-24,1281.2069091796875
2023-06-25,2822.3349609375
2023-06-26,2126.5265795898435
2023-06-27,1262.8900146484375
2023-06-28,1090.0333251953125
2023-06-29,3126.7551328125
2023-06-30,1230.3900146484375
2023-07-01,988.9266764322987
2023-07-02,1450.144041748047
2023-07-03,1255.0159912109375
2023-07-04,1198.5680175781138
2023-07-05,986.0299987792969
2023-07-06,1159.9249877929688
2023-07-07,1505.8524780273438
2023-07-08,1259.7880126953116
2023-07-09,1289.2183430989592
2023-07-10,1208.2850341796875
2023-07-11,1366.9524536132812
2023-07-12,1973.6300048828125
2023-07-13,1090.0333251953125
2023-07-14,4697.52978515625
2023-07-15,2076.195068359375
2023-07-16,3327.77001953125
2023-07-17,1206.9538735351562
2023-07-18,1437.9625244140625
2023-07-19,1036.2197058105469
2023-07-20,1510.1499837239649
2023-07-21,2038.0594155273438
2023-07-22,1200.0399576822936
2023-07-23,1348.703411254883
2023-07-24,1219.5350036621094
2023-07-25,1113.9880084228516
2023-07-26,3899.57744921875
2023-07-27,2727.760009765625
2023-07-28,1308.9000244140625
2023-07-29,1075.9824829101562
2023-07-30,2079.56005859375
2023-07-31,1259.7880126953116
2023-08-01,1113.8684979248046
2023-08-02,2695.676025390625
2023-08-03,1067.8966634114536
2023-08-04,1304.2325134277344
2023-08-05,1409.1581920277072
2023-08-06,1098.5599975585938
2023-08-07,1102.714986165359
2023-08-08,1986.510009765625
2023-08-09,1387.003336588538
2023-08-10,1317.9699951171751
2023-08-11,1225.364990234375
2023-08-12,1098.7817579345704
2023-08-13,1350.703369140625
2023-08-14,984.6856063232422
2023-08-15,1598.723974609375
2023-08-16,2444.0400390625
2023-08-17,2097.449951171875
2023-08-18,2072.974072265625
2023-08-19,1767.68994140625
2023-08-20,2139.16415625
2023-08-21,4358.211135253906
